1;Badia del Valles;13531
2;Barberà del Valles;32580
3;Castellar del Valles;23455
4;Castellbisbal;12369
5;Cerdanyola del Valles;57642
6;Gallifa;200
7;Matadepera;8784
8;Montcada i Reixac;34863
9;Palau-solita i Plegamans;14454
10;Polinya;8158
11;Rellinars;747
12;Ripollet;37234
13;Rubi;74468
14;Sabadell;207649
15;Sant Cugat del Vallès;86108
16;Sant Llorenc Savall;2401
17;Sant Quirze del Valles;19408
18;Santa Perpetua de Mogoda;25473
19;Sentmenat;8655
20;Terrassa;215055
21;Ullastrell;2030
22;Vacarisses;6260
23;Viladecavalls;7397